decile,accounts,defaults,avg_pd,default_rate,cum_defaults_pct,lift
D1,400,139,0.3613,0.3475,36.8,3.68
D2,400,59,0.2011,0.1475,52.4,1.56
D3,400,58,0.1273,0.145,67.7,1.53
D4,400,41,0.0774,0.1025,78.6,1.08
D5,400,27,0.0532,0.0675,85.7,0.71
D6,400,23,0.0409,0.0575,91.8,0.61
D7,400,12,0.0328,0.03,95.0,0.32
D8,400,10,0.0269,0.025,97.6,0.26
D9,400,7,0.0218,0.0175,99.5,0.19
D10,400,2,0.0142,0.005,100.0,0.05
